feature_id	omitted_patient_slot	n_patients	icc
SPARC-MIF-01	P01	10	0.9746192803045733
SPARC-MIF-01	P02	10	0.9641316604194012
SPARC-MIF-01	P03	10	0.946067418999368
SPARC-MIF-01	P04	10	0.9539918432660511
SPARC-MIF-01	P05	10	0.9458319525250906
SPARC-MIF-01	P06	10	0.9448584796925336
SPARC-MIF-01	P07	10	0.9424118348512373
SPARC-MIF-01	P08	10	0.946575895312461
SPARC-MIF-01	P09	10	0.9501820683663554
SPARC-MIF-01	P10	10	0.9474201654432168
SPARC-MIF-01	P11	10	0.9524931430670744
SPARC-MIF-02	P01	10	0.9536527748207458
SPARC-MIF-02	P02	10	0.892177574328862
SPARC-MIF-02	P03	10	0.8789436275263418
SPARC-MIF-02	P04	10	0.9018179598772538
SPARC-MIF-02	P05	10	0.8903821836613194
SPARC-MIF-02	P06	10	0.8785490279731624
SPARC-MIF-02	P07	10	0.8881441349806666
SPARC-MIF-02	P08	10	0.8927207142249554
SPARC-MIF-02	P09	10	0.8923667831115596
SPARC-MIF-02	P10	10	0.8784168372404673
SPARC-MIF-02	P11	10	0.8917001315754975
SPARC-MIF-03	P01	8	0.5941850592787729
SPARC-MIF-03	P02	8	0.6796535567040335
SPARC-MIF-03	P03	8	0.6259166391785094
SPARC-MIF-03	P04	8	0.6761946519322648
SPARC-MIF-03	P05	8	0.6380717666872744
SPARC-MIF-03	P06	8	0.9761422773426331
SPARC-MIF-03	P07	8	0.7098159059718453
SPARC-MIF-03	P08	8	0.7039330590929828
SPARC-MIF-03	P09	8	0.6765430656856515
